place,dataset,year,score,rank,isopen,exists,digital,public,online,free,machinereadable,bulk,openlicense,uptodate,url,format,licenseurl,dateavailable,officialtitle,publisher,timestamp,submitters,reviewers,details
kr,timetables,2013,30,41,False,Y,Y,Y,Y,N,N,N,N,Y,http://tago.go.kr,HTML,None,None,None,None,2013-09-28T06:40:04.123Z,Young-Je Lim,"홍영택 (yeongtaek, Hong)","- Name: National Transport Information
- Coverage: schedule of public transportation, including subway, bus, flight, transport node, airport, bus & express bus terminal, train station, inter-regional transportation route among bus, subway, flight, 
- Plan long distance trips / Search transfer modes and routes 
- Search long distance transport modes and make reservations - Check delay and accident information"""
rs,companies,2013,45,16,False,Y,Y,Y,Y,Y,?,N,N,Y,http://pretraga2.apr.gov.rs/ObjedinjenePretrage/Search/Search,html,None,None,None,None,2013-09-30T09:48:58.954Z,"[u'Larisa Rankovic', u'Stevan Gostoji\u0107']","[u'Bojana Dzulovic', u'Sander van der Waal']",No license can be found which makes it non-open.
za,emissions,2013,0,51,False,?,?,?,?,?,?,?,?,?,None,None,None,None,None,None,12/6/2013 15:52:32,"[u'Adi Eyal', u'sarah levi', u'nina lewin']","[u'Mor Rubinstein', u'Laura James']",Data is available on water quality. Air pollution not available as far as we can tell.
za,companies,2013,15,50,False,Y,?,Y,Y,N,?,?,N,?,http://www.cipc.co.za/,None,None,None,None,None,7/4/2013 14:13:14,"[u'Adi Eyal', u'Mor Rubinstein', u'S Kendler']",Mor Rubinstein,This data is closed and sold by subscription
za,timetables,2013,45,13,False,Y,Y,Y,Y,Y,N,N,N,Y,https://www.shosholozameyl.co.za/train-routes.html,Images,None,None,None,None,20/08/2012 20:50:21,"[u'Adi Eyal', u'Francois van Schalkwyk']",Mor Rubinstein,"The data provided above is for Shosholoza Meyl, the national train operator. South African Airways, the national airline is owned by the South African government and could be considered to be public transport. Their website is http://www.flysaa.com/. Data is not available in bulk and can only be accessed through their booking form."
si,legislation,2013,45,25,False,Y,Y,Y,Y,Y,N,N,N,Y,http://zakonodaja.gov.si/,"HTML, PDF",None,None,None,None,12/7/2012 8:22:42,"[u'Marieke Guy', u'Jaka Kranjc', u'Andrew Stott', u'Polona Tepina, Information Commissioner Slovenia']","[u'Jaka Kranjc', u'Christian Villum', u'IPMIT', u'Mor Rubinstein']","The given site eventually points to the Slovenian Official Gazette as at (for example) http://www.uradni-list.si/1/objava.jsp?urlid=200670&stevilka=2999 . This is in HTML and there is no download facility. The licensing conditions at http://www.uradni-list.si/0/legal include (article 14, Google Translate) ""All rights to the home page and all subpages Site-official list.si reserved. The information and materials on this website are protected by intellectual property rights upravljavca.Informacije and materials displayed on the Site may be downloaded for your personal use, however, do not change copyright and other notices relating to intellectual property rights or other rights notices. It is permitted to download and print information and materials for viewing and reading for non-commercial purposes. Any other copying, distribution, reproduction, modification information and materials on this site or send them by mail or distribute in any other way without prior written permission is prohibited. It is also prohibited to use any element of own-list.si for any purpose other than personal, non-commercial use. Restrictions on use of materials not subject to the Official Journal of the Republic of Slovenia, and it posted content."" Therefore this site is not Open, not machine readable and no bulk downloadable.
<br>
The legal registry at http://pisrs.si is newer and most of the sites at the original url redirect there. However, it is mostly a usability enhancement."
sk,companies,2013,45,16,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.orsr.sk/,HTML,None,None,None,None,24/06/2013 13:37:16,Peter Hanecak,Jano Suchal,"Accessible in bulk form on special arrangement. Or just scrape it from web. License for the data is not clearly stated so ""no"" is filled."
fr,elections,2013,90,14,True,Y,Y,Y,Y,Y,Y,Y,Y,?,http://www.data.gouv.fr/content/search?SortBy=Pertinence&SortOrder=0&SearchText=R%C3%A9sultats+par+commune+%C3%A9lection+pr%C3%A9sidentielle+2012,None,None,None,None,None,2013-10-08T10:28:46.493Z,"[u'@logisima', u'Simon', u'Pierre Chrzanowski']",Pierre Chrzanowski,None
ch,map,2013,70,14,False,Y,Y,Y,Y,Y,Y,Y,N,Y,http://www.geo.admin.ch/internet/geoportal/en/home.html,"WMS,WMTS,ArcGIS",None,3/1/2010,None,None,1/5/2012 8:58:13,"[u'Oleg Lavrovsky', u'Daniela Mattern']","[u'Oleg Lavrovsky', u'Daniela Mattern']",Many of the data sets are now also available on http://opendata.admin.ch
se,timetables,2013,80,4,True,Y,Y,Y,?,?,Y,Y,Y,Y,http://www.trafiklab.se/api/gtfs-sverige,None,None,None,None,None,21/02/2013 19:56:14,Peter Krantz,"[u'Miska Knapek', u'Niels Erik Kaaber Rasmussen']",Available in GTFS format as open data.
bg,statistics,2013,90,10,True,Y,Y,Y,Y,Y,Y,Y,Y,N,http://www.nsi.bg/,"Excel, CSV, HTML",None,None,None,None,11/5/2012 10:03:34,"[u'Mor Rubinstein', u'Boyan Yurukov']","[u'Rayna St', u'Boyan Yurukov']",The data is available at the National Statistics Institute. It keeps data on quite a lot of aspects of economics and demographics. The data is however only in XLS format and in Bulgarian language. Bulk download is not possible. Historic data is limited.
nz,elections,2013,100,1,True,Y,Y,Y,Y,Y,Y,Y,Y,Y,http://www.electionresults.govt.nz/electionresults_2011/e9/html/statistics.html,"CSV,HTML",None,None,None,None,2013-10-08T22:33:53.257Z,"[u'Mark Heseltine', u'Jonathan Hunt']","[u'Alex Sadleir', u'Jonathan Hunt']","http://www.electionresults.govt.nz/about.html allows reuse with attribution, but this isn't obvious with the All Rights Reserved claim in the footer of the homepage."
cn,map,2013,55,24,False,Y,Y,Y,Y,Y,N,Y,N,Y,http://219.238.166.215/mcp/index.asp,"JPG,EPS",None,None,None,None,2013-09-28T07:57:03.994Z,Pierre Chrzanowski,FENG GAO,None
np,postcodes,2013,35,33,False,Y,Y,Y,Y,Y,N,N,N,?,http://www.gpo.gov.np/postalcode.aspx,html,None,None,None,None,2013-10-01T12:03:12.770Z,"[u'Mor Rubinstein', u'Nikesh Balami', u'Prakash Neupane']","[u'Kshitiz Khanal', u'Mor Rubinstein', u'Prakash Neupane']",Data is under the GPO of Nepal
se,budget,2013,100,1,True,Y,Y,Y,Y,Y,Y,Y,Y,Y,http://www.regeringen.se/sb/d/2548/a/199285,None,None,20/09/2012,None,None,21/02/2013 20:00:19,"[u'Asmen G\xfcl', u'Peter Krantz']","[u'Miska Knapek', u'Niels Erik Kaaber Rasmussen']",Available in Excel format.
hr,map,2013,45,30,False,Y,Y,Y,Y,Y,N,N,N,Y,http://geoportal.dgu.hr,None,None,None,None,None,2013-09-30T16:43:45.084Z,Drazen Hoffmann,Stevan Gostojić,None
tn,map,2013,35,38,False,Y,?,N,N,?,?,N,Y,?,None,None,http://opendata.interieur.gov.tn/,2013,None,None,2014-10-26T18:32:57.811Z,"[u'Rayna Stamboliyska', u'Rayna St', u'Katelyn Rogers', u'Amin Khechine']","[u'Rayna Stamboliyska', u'Rayna St', u'Amin Khechine']","Data is not available online at all. 

The Interior Ministry's Open Data website has a map with names of governorates (provinces) and the respective number of delegations for each. But it's not map data as per the indicator's definition. 

The map data on this website is from OpenStreetMap. The license is CC-by 3.0 Unported (indicated at the bottom of the website)."
ch,emissions,2013,60,13,False,Y,Y,Y,Y,Y,Y,N,N,Y,http://www.bafu.admin.ch/luft/luftbelastung/blick_zurueck/datenabfrage/index.html?lang=en,"CSV,HTML,PNG",None,9/13/2010,None,None,10/6/2013 11:54:16,Oleg Lavrovsky,Oleg Lavrovsky,"Any reproduction requires prior written consent, as per http://www.disclaimer.admin.ch/terms_and_conditions.html"
ru,statistics,2013,60,27,False,Y,Y,Y,Y,Y,Y,N,N,Y,http://fedstat.ru,"SDMX, XML, CSV",None,None,None,None,21/02/2013 08:51:24,Ivan Begtin,Ivan Begtin,"Brief Description There is special government source for statistic information publication http://fedstat.ru/.
Federal Law ""On official statistical records and the system of state statistics in the Russian Federation"" (article 5, paragraph 10) stipulates that official statistical information in Russia is available. Government Decree № 367 (26 may 2010) ""On the unified interdepartmental information and statistical system"" establishes that access to official statistical information in the system, is carried out on a free and nondiscriminatory basis (paragraphs 4-5).
There is no any legal restriction for use and reuse statistic information for commercial purposes. Also there is special terms of use on the Federal Statistic Service web site http://www.gks.ru/opendata/.
On the http://fedstat.ru data in not available in bulk Step by step explanation
1. Does the data exist? Yes, via website http://fedstat.ru 2. Is data in digital form? Yes, data available via website 3. Publicly available? Yes, this data is publicly available. We don't need FOI request to get it. 4. Is the data available for free? Yes, this data is available for free. No payment is required. 5. Is the data available online? Yes. Data available at http://fedstat.ru 6. Is the data machine readable? Yes, data provided as SDMX and XLS files 7. Available in bulk? No, it's not bulk yet. 8. Openly licensed? No, this data is public domain data but no open license available. 9. Is the data provided on a timely and up to date basis?
Yes, this information updated frequently, on monthly basis. Ivan Pavlov: Ivan Pavlov: we consider the Russian statistics as open licensed, taking into the account Russian Legislation provisions. Russia has no special license for government data and we should consider the legal regime of data use and dissemination form ""the common rule"" point of view. According to the Civil Сode of Russia (Article 1259), official government documents including laws, other legal texts, judicial decisions, other materials of legislative, administrative and judicial character are not objects of copyright. According to the Russian FOI law (Article 4), one of the main FOI principles in Russia is the freedom to seek, receive, transmit and disseminate information on activities of government bodies and bodies of local self-government in any legal way. Also according to the Russian FOI law (Article 1), information about the activities of government bodies and bodies of local self-government is information (including documentation), established within government bodies, their territorial bodies, local authorities or institutions subordinate to the state authorities, local self-government (hereinafter - organizations subordinated to it), or received by the mentioned bodies and organizations. Information on the activities of government bodies and bodies of local self-government also includes laws and other normative legal acts concerning information on the activities of bodies of local self-government – municipal legal acts defining structure, competence, formation and operating procedures of the above-specified bodies and organizations, and other information concerning their activity. Thus, according to the current Russian legislation, there are no legal restrictions on use, reuse or redistribute statistics data."
it,legislation,2013,50,24,False,Y,Y,Y,Y,Y,Y,N,N,N,http://www.normattiva.it/,None,None,None,None,None,20/02/2013 15:26:14,"[u'Maurizio Napolitano', u'Gianfranco ', u'Andrea Raimondi']","[u'Mor Rubinstein', u'Sander van der Waal']","I don't know if Normattiva.it is an official source, it could be but I'm not sure. Data can be downloaded individually in a XMLformat. 
Reviewer comments: - It seems IPZS is the ""Government Printing Office of the State"" so it's an official source. No license information found on the site which makes it not openly licensed."
ie,elections,2013,5,58,False,Y,?,?,?,?,N,N,N,N,http://www.environ.ie/en/LocalGovernment/Voting/NationalElections/,"pdf, other?",None,None,None,None,21/02/2013 15:05:38,"[u'Tracey P. Lauriault', u'Deirdre Lee', u'Denis Parfenov', u'Tracey Lauriault']","[u'Tracey P. Lauriault', u'Denis Parfenov', u'Tracey Lauriault']","All data regarding the referendums that have taken place in Ireland are also online at this URL http://www.referendum.ie/results.php. However, we where not able to locate hosted by the government archive of the parliamentary elections, 'data available online changed to NO. Based on the discussions on the [od-discuss@lists.okfn.org] list, it has been decided that the Irish PSI license is NOT an 'open license'. UPDATED 06/12/13 to reflect working doc (https://docs.google.com/spreadsheet/ccc?key=0AhQCu4i-aiQPdGtqanlSY29heVZOd3dHUzYwZWY1Nmc&pli=1#gid=4)"
mt,elections,2013,60,29,False,Y,Y,Y,Y,Y,Y,N,N,Y,https://gov.mt/en/Government/Open%20Data/Electoral%20Commission/Pages/Open-Data-%28Beta%29-General-Elections-2013.aspx,Excel,None,2013,None,None,2013-10-12T08:24:27.381Z,Charlie Abela,Charlie Abela,None
at,postcodes,2013,0,45,False,?,?,N,N,N,N,?,N,?,None,None,None,None,None,None,18/04/2013 19:13:50,"[u'Mathias Huter', u'vavoida', u'Daniela Mattern']","[u'Robert Harm', u'Daniela Mattern', u'Lieke Ploeger']",None
de,companies,2013,30,39,False,Y,Y,Y,Y,N,N,N,N,Y,https://www.unternehmensregister.de/ureg/,None,None,Website launched 2007. Data updated regularly,None,None,24/01/2013 22:18:09,"[u'profemo', u'pudo', u'Daniel Dietrich', u'Jan-Ole Beyer', u'Mor Rubinstein']","[u'Mor Rubinstein', u'Daniel Dietrich']","The company register is protected by data base rights and might not be reused without permission. Original License notice states: ""Das Unternehmensregister genießt Datenbankschutz nach § 87a ff. UrhG und darf insoweit nicht ohne Zustimmung des Verlags außerhalb der gesetzlichen Vorschriften genutzt werden."""
hk,budget,2013,45,34,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.budget.gov.hk/2013/index.html,HTML; PDF,None,None,None,None,2013-10-05T23:02:26.757Z,"[u'Pierre Chrzanowski', u'Graeme Jones', u'Mart van de Ven', u'Haruka Nakamura']","[u'FENG GAO', u'Graeme Jones', u'Mor Rubinstein']","budget 2013/14:
http://www.budget.gov.hk/2013/eng/estimates.html"
md,postcodes,2013,20,39,False,Y,Y,N,N,N,N,N,N,Y,http://www.posta.md/ro/postal_code.html,HTML,None,None,None,None,2013-10-07T15:18:49.851Z,Mor Rubinstein,Mor Rubinstein,http://download.geonames.org/export/zip/ - unnoficial source for all Moldova postal codes + latitude and a longitude
pt,companies,2013,70,5,True,Y,Y,Y,N,?,Y,Y,Y,N,https://www.portaldaempresa.pt/CVE/Services/Online/Pedidos.aspx?service=PNS,HTML,None,None,None,None,2013-10-05T00:38:27.502Z,"[u'Ricardo Lafuente', u'Ana Carvalho']","[u'Ricardo Lafuente', u'Gustavo']","Platform provides access to companies in Portugal including name, unique identifier and additional information such as address, and others."
es,spending,2013,0,38,False,N,N,N,N,N,N,N,N,N,None,None,None,None,None,None,23/02/2013 20:31:25,"[u'David Cabo', u'Jos\xe9 F\xe9lix Onta\xf1\xf3n']","[u'Adri\xe0 Mercader', u'Alicia Garc\xeda-Garc\xeda', u'Mor Rubinstein']",None
cn,companies,2013,45,16,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.saic.gov.cn/ywbl/zxcx/djqyxxcx/index.html,HTML,None,None,None,None,2013-09-28T07:59:06.990Z,FENG GAO,FENG GAO,The data available at national level might not include certain companies which registered at city/province level.
be,budget,2013,45,34,False,Y,Y,Y,Y,Y,N,N,?,Y,http://www.begroting.be/portal/page/portal/INTERNET_pagegroup/Begroting%20Online%202013/Middelenbegroting%202013%20aangepast.pdf,None,None,None,None,None,10/5/2012 15:13:17,"[u'Bart Hanssens', u'Pierre Chrzanowski']","[u'Pieter-Jan Pauwels', u'Sander van der Waal']",Portal provides links to PDFs containing all of the numbers.
il,legislation,2013,35,47,False,Y,Y,Y,Y,Y,N,N,N,N,http://www.knesset.gov.il/laws/heb/template.asp?Type=1,None,None,None,None,None,1/6/2013 23:22:19,"[u'ido ivri', u'Oleg Lavrovsky', u'Ido Ivri']","[u'Mor Rubinstein', u'Ido Ivri', u'Sander van der Waal']","The data is not systematically available, and also the whole database of legislation and changes in legislation since the inauguration of the State of Israel does not exist in an open license."
gb,companies,2013,100,1,True,Y,Y,Y,Y,Y,Y,Y,Y,Y,http://download.companieshouse.gov.uk/en_output.html,CSV,None,2012,None,None,10/5/2012 15:55:49,"[u'Owen Boswarva', u'Daniela Mattern', u'Mor Rubinstein', u'Andrew Stott']","[u'Katelyn Rogers', u'Daniela Mattern']","Companies House, the public body responsible for maintaining company registers in the UK, has since June 2012 made available a subset of the fields of the register for all companies for bulk download as monthly 'snapshot', at no charge and on an open basis. The subset of the information is documented at http://www.companieshouse.gov.uk/toolsToHelp/pdf/freeDataProductDataset.pdf and meets the minimum requirements of the definition of this element of the OKFN Census 2013. Full information from individual company registers remains subject to payment."
us,timetables,2013,75,6,False,Y,Y,Y,Y,Y,?,?,Y,Y,None,None,None,1975 (varies per dataset),None,None,21/02/2013 16:04:11,"[u'Rebecca Williams - XFB', u'Jeanne Holm']","[u'Laura James', u'Katelyn Rogers']","Transportation data is available from the US Department of Transportation at http://www.data.gov/list/agency/35/* and more at the Data.gov Safety community at http://safety.data.gov. This includes transportation venues, locations, safety records, on-time arrivals, etc. http://data.gov However this question is about national bus and train timetables which are harder to find. There is also a question as to whether in the US national bus and train are in fact government or privately run."
pt,timetables,2013,45,13,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.cp.pt/cp/displayPage.do?vgnextoid=a4f6f9e12a584010VgnVCM1000007b01a8c0RCRD,"online, PDF",None,None,None,None,2013-10-05T00:26:06.546Z,"[u'Ricardo Lafuente', u'David Ramalho']",Ricardo Lafuente,"Timetables of the national-level public train services are available and up to date online but only through ""search"" of PDF.
No national bus level service is known."
sn,map,2013,15,49,False,Y,Y,Y,?,?,N,N,?,N,None,None,None,2011,None,None,18/05/2013 16:47:56,"[u'Mamadou Diagne', u'BOUBA Fanta']","[u'Mamadou Diagne', u'Mor Rubinstein', u'Laura James']",Data are publicly available after one year old and on request Licence marked as unsure because no URL
ec,spending,2013,10,19,False,Y,Y,N,?,?,?,?,?,?,None,None,None,None,None,None,2013-10-08T16:51:43.303Z,"[u'Eduardo Bejar', u'Mor Rubinstein']","[u'Eduardo Bejar', u'Pierre Chrzanowski', u'Mor Rubinstein', u'Mariel Garc\xeda M']",Spending data but not transacationnal level.
jp,elections,2013,45,33,False,Y,Y,Y,Y,Y,N,?,N,Y,http://www.soumu.go.jp/senkyo/senkyo_s/data/index.html,PDF,None,None,None,None,1/3/2013 19:04:22,"[u'Masahiko SHOJI', u'Masayuki Hatta']","[u'Laura James', u'Masayuki Hatta']",PDF not machien readable
cy,elections,2013,0,59,False,N,N,N,N,N,N,N,N,N,http://wtv.elections.moi.gov.cy/,.txt,None,2013,None,None,2013-10-06T13:28:02.972Z,Andreas,"[u'Andreas Pavlou', u'Andreas P']","No information appears to be available on most recent national, or local, elections. Only election information available is for the 2013 presidential election. Please submit most recent national electoral data for review if you find it!"
kr,legislation,2013,40,46,False,Y,Y,?,Y,N,Y,N,N,Y,http://www.law.go.kr/LSW/main.html,"hwp, txt, open API",None,None,None,None,2013-09-30T14:27:32.939Z,Young-Je Lim,"홍영택 (yeongtaek, Hong)","- Name: Korean laws and policy
- Coverage: Present and past laws and regulations of the Republic of Korea"
il,map,2013,45,30,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.govmap.gov.il/,HTML,None,None,None,None,15/02/2013 18:49:49,"[u'Noam Castel', u'The Public Knowledge Workshop']","[u'Mor Rubinstein', u'Ido Ivri']",The Data is available but need a consent from the office for being use in other projects. It is replacing an old and disfunctional national map site.
hk,elections,2013,45,33,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.info.gov.hk/gia/general/201209/10/P201209100125.htm,HTML,None,None,None,None,2013-10-05T22:46:27.845Z,"[u'Graeme Jones', u'Mart van de Ven', u'Haruka Nakamura']","[u'FENG GAO', u'Graeme Jones']","press release:
http://www.info.gov.hk/gia/general/201209/10/P201209100125.htm elections website - does not appear to include election results though:
http://www.elections.gov.hk/legco2012/en/"
in,postcodes,2013,45,21,False,Y,Y,Y,Y,Y,?,?,?,Y,http://www.indiapost.gov.in/pin/,HTML / CSV,None,11/6/2013,None,None,2013-10-07T17:50:02.111Z,"[u'Tuhin Subhro Chakraborty', u'SUSIL KUMAR Sahoo', u'Akhilesh Srivastava', u'Subhajit Ganguly', u'Shantanu Date', u'Shubhadip Biswas']","[u'Mor Rubinstein', u'Laura James', u'Subhajit Ganguly']","Two sites: http://www.indiapost.gov.in/pin/ http://data.gov.in/dataset/all-india-pincode-directory The data is available in CSV format and is updated on 22-Jul-2013. The data consists of pincodes along with post office information like address and postal code but does NOT include geographic boundaries or lat long information. The data can also be searched by location or pincode on 'http://www.indiapost.gov.in/'. The data is available completely and is from official source, i.e the site managed by National Informatics Center which is a government body. It is hard to say whether the post office address which forms each result could be connected to a lat/long location with other information as per the census requirements"
in,map,2013,70,14,False,Y,Y,Y,Y,Y,Y,Y,N,Y,http://www.surveyofindia.gov.in/ http://www.mapsofindia.com/,HTML,None,1998,None,None,2013-10-07T18:25:27.136Z,"[u'Daniela Mattern', u'Tuhin Subhro Chakraborty', u'SUSIL KUMAR Sahoo', u'Akhilesh Srivastava', u'Shubhendu Das', u'Subhajit Ganguly', u'Shubhadip Biswas']","[u'Mor Rubinstein', u'Laura James', u'Subhajit Ganguly', u'Daniela Mattern']","http://www.surveyofindia.gov.in/ is the National Survey and Mapping Organisation of the country under the Department of Science & Technology, is the OLDEST SCIENTIFIC DEPARTMENT OF THE GOVT. OF INDIA. The name MapsOfIndia and logo with background grid, and all others related or associated product and service names, distinguished design or Trademarks i.e. black hat with stars, logos, colour scheme and slogans are the trademarks or registered trademarks of MapsOfIndia.com All other products offered and service marks contained herein are the trademarks of MapsOfIndia.com Or of respective third party in agreement with MapsOfIndia.com You may not use any MapsOfIndia or third party trademarks or logos or images without the prior written consent of MapsOfIndia.com The data is available from the source which we can cannot confirm whether it is from official government site. The data available is comprehensive extent fully available. Some information is also available in the site ""http://www.portal.gsi.gov.in/portal/page?_pageid=127,529486&_dad=portal&_schema=PORTAL"" and ""http://www.surveykshan.gov.in/"""
ec,emissions,2013,35,34,False,Y,Y,Y,Y,Y,N,N,N,N,http://suia.ambiente.gob.ec/ambienteseam/index.seam,None,None,None,None,None,2013-10-08T17:39:54.847Z,Eduardo Bejar,"[u'Eduardo Bejar', u'Mariel Garc\xeda M']",None
pl,emissions,2013,0,51,False,?,?,?,?,?,?,?,?,?,None,None,None,None,None,None,2013-10-02T08:41:17.424Z,Gosia Klimowicz,None,Very hard to find any relevant data released by the government.
sg,emissions,2013,35,34,False,Y,Y,Y,Y,Y,?,?,N,N,http://www.nea.gov.sg/psi/,HTML,None,None,None,None,2013-10-02T10:35:55.292Z,"[u'Gosia Klimowicz', u'Christian Villum']",Christian Villum,"The URL does not lead directly to the data, it is required to manually locate the Air Pollution data (for instance via the site map). Pollutants data seems to only be available in simple html, and is therefore not machine readable nor available in bulk. Some entries (for instance Sulphur Dioxide SO2 Emission Inventory) show numbers from 2010, so not deemed up-to-date either."
gr,map,2013,35,38,False,Y,Y,Y,Y,Y,N,N,N,N,http://gis.ktimanet.gr/wms/ktbasemap/default.aspx,None,None,None,None,None,1/6/2013 20:05:55,Charalampos Bratsas,"[u'Charalampos Bratsas', u'Andreas P']",None
hk,spending,2013,10,19,False,Y,Y,?,N,?,N,N,N,N,None,HTML,None,None,None,None,2013-10-09T14:03:59.281Z,"[u'FENG GAO', u'Graeme Jones', u'Tryggvi Bj\xf6rgvinsson', u'Mart van de Ven', u'Haruka Nakamura']","[u'FENG GAO', u'Graeme Jones', u'Mor Rubinstein']","only summarised annual revenue and expenditure:
http://www.censtatd.gov.hk/hkstat/sub/sp110.jsp"
tn,emissions,2013,35,34,False,Y,Y,Y,Y,Y,N,N,N,N,http://www.anpe.nat.tn/index.php?option=com_content&view=article&id=175&Itemid=184&lang=fr,PDF,None,2005,None,None,2013-10-02T23:57:42.540Z,"[u'Rayna St', u'Amin Khechine']","[u'Rayna Stamboliyska', u'Rayna St']","PDF Reports published in the official website of the National Agency for Environment Protection from 2005 to 2008. No more updates since then. The website and the information it contains are the property of the Agency, thus data is considered non-open."
es,emissions,2013,60,13,False,Y,Y,Y,Y,Y,Y,Y,?,?,http://www.prtr-es.es/informes/descargasEmisiones.aspx,xml,None,None,None,None,24/02/2013 17:30:43,"[u'J. F\xe9lix Onta\xf1\xf3n', u'Mor Rubinstein', u'Jos\xe9 F\xe9lix Onta\xf1\xf3n']","[u'Adri\xe0 Mercader', u'Maria Dotor', u'Mor Rubinstein']","PRTR emissions data for Spain. PRTRs are a type of emission inventories, typically containing data on waste and emissions to the environment from individual industrial facilities. This data are being collected as result of the application of European Union (2006). Regulation (EC) No 166/2006 of the European Parliament and of the Council of 18 January 2006 concerning the establishment of a European Pollutant Release and Transfer Register and amending Council Directives 91/689/EEC and 96/61/EC, Official Journal of the European Union, L 33, 4.2.2006 More info: About PRTR: http://en.wikipedia.org/wiki/Pollutant_Release_and_Transfer_Register
PRTR Spain: http://www.prtr-es.es/
PRTR waste data: http://www.prtr-es.es/informes/descargasResiduos.aspx
PRTR pollutants data: http://www.prtr-es.es/informes/descargas.aspx"
im,statistics,2013,40,50,False,Y,Y,Y,N,N,Y,Y,N,N,http://www.gov.im/about-the-government/departments/treasury/economic-affairs-division/,PDF,None,None,None,None,2013-10-03T14:54:02.822Z,Graeme Jones,Graeme Jones,None
ca,spending,2013,10,19,False,Y,Y,N,N,N,N,N,N,N,None,None,None,None,None,None,4/6/2012 14:47:48,"[u'Adam Hill', u'James McKinney', u'Caitlin Myles']","[u'James McKinney', u'Tracey Lauriault']","The Government of Canada released a pilot sample dataset matching the criteria for this category, which has since been discontinued: http://data.gc.ca/data/en/dataset/2eed2fba-1626-4d2e-a511-389cc6b51ddf"
tn,legislation,2013,35,47,False,Y,Y,Y,Y,Y,N,N,N,N,http://www.iort.gov.tn/,HTML; PDF,None,None,None,None,2013-10-02T22:30:21.514Z,"[u'Katelyn Rogers', u'Amin Khechine']","[u'Rayna Stamboliyska', u'Rayna St']","Data is available on the Tunisian Official Gazette website. Also, since 2012, recent laws projects are published in the parliament official website: http://www.anc.tn/site/main/AR/docs/projets/liste_projets.jsp On this website (Arabic-only, French broken), documents are available in PDF formats."
hr,budget,2013,90,11,False,Y,Y,Y,Y,Y,Y,N,Y,Y,http://mfin.hr,"xls, pdf",None,None,None,None,18/04/2012 17:44:22,"[u'Drazen Hoffmann', u'Marko Rakar']",Stevan Gostojić,Older budget records are available in non-machine readable format only.
im,companies,2013,55,10,False,Y,Y,Y,N,Y,Y,Y,N,N,http://www.gov.im/ded/pvi/pvi_fr.html,HTML ASP.NET,None,None,None,None,2013-10-03T14:53:10.937Z,Graeme Jones,Graeme Jones,webscraped by opencorporates.com
de,timetables,2013,25,45,False,Y,Y,Y,N,N,N,N,N,Y,None,None,None,NA,None,None,27/02/2013 16:53:05,"[u'Mor Rubinstein', u'Jan-Ole Beyer', u'Stefan', u'Daniel Dietrich']","[u'Mor Rubinstein', u'Daniel Dietrich']",The transport timetables of the Deutsche Bahn are available via an App at http://www.dbfahrplan.com but the data it sefe is not available online. The data is not provided in bulk nor is it not machine readable and openly licensed. The transport timetables are available as PDF via http://kursbuch.bahn.com and on CD rom and have been reverse-engineered at https://github.com/MichaelKreil/openPlanB
jp,companies,2013,30,39,False,Y,Y,Y,Y,N,N,N,N,Y,http://www.touki.or.jp/,PDF,None,None,None,None,1/3/2013 18:49:31,"[u'Masahiko SHOJI', u'Masayuki Hatta']","[u'Laura James', u'Masayuki Hatta']","PDF not machine readable. No bulk data, no open licence, charge to access data."
be,elections,2013,35,51,False,Y,Y,Y,Y,Y,N,N,N,N,http://verkiezingen2010.belgium.be/nl/cha/results/results_start.html,PDF,None,2010,None,None,10/5/2012 14:31:11,"[u'Pieter-Jan Pauwels', u'Bart Hanssens']","[u'Pieter-Jan Pauwels', u'Sander van der Waal']",Only PDFs of 2010 national election.
sk,statistics,2013,15,59,False,Y,Y,Y,N,?,N,N,N,N,http://portal.statistics.sk/,"HTML, XLS, CSV, ...",None,None,None,None,24/06/2013 14:12:26,Peter Hanecak,Jano Suchal,"There is no formal license attached to data, only copyright assertion and vague description of what you can do with them. Mostly you must obtain explicit approval for reuse or distribution. After causal attempts to get some data most of the requests returned no or gibberish data => ""is it accessible online"" = ""no"", etc."
si,elections,2013,85,17,False,Y,Y,Y,Y,Y,N,Y,Y,Y,http://www.dvk-rs.si/,PDF,None,None,None,None,2013-10-05T11:04:15.698Z,"[u'Marieke Guy', u'Andrew Stott']","[u'Mor Rubinstein', u'Christian Villum', u'IPMIT']",The site gives results for instance for the 2012 presidential election down to polling station level. However only PDF format is offered on the website at http://www.dvk-rs.si/index.php/si/strani/volisca-za-volitve-predsednika-rs-2012 The disclaimer on http://www.dvk-rs.si/index.php/si/pravno-obvestilo asserts that under Slovenian Law these results are not subject to Copyright and so can be reused freely.
cn,timetables,2013,45,13,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.12306.cn/mormhweb/kyfw/lcskbcx/,None,None,None,None,None,2013-09-28T07:21:27.250Z,FENG GAO,FENG GAO,Only Train services is ran and managed at national level in China so the dataset mentioned here only covers the timetable of train service. The online data is available in a web service on national train service website 12306.cn which is mainly used to book tickets.
